Average rainfall,x,y,address
0.175425673,76.5,36,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.054712846,76.75,36,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.054222774,77,36,"叶城县 قاغىلىق ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 844900, 中国"
0.05319472,78.5,36,"皮山县 گۇما ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.054322609,78.75,36,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.061399028,79,36,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.072721642,79.25,36,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.089021962,79.5,36,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.11372519,79.75,36,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.150403843,80,36,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.854500831,73,35.75,"خیبر پختونخوا, پاکستان"
1.251240455,73.25,35.75,"گلگت بلتستان, پاکستان"
1.944123523,73.5,35.75,"گلگت بلتستان, پاکستان"
2.29203658,73.75,35.75,"گلگت بلتستان, پاکستان"
2.097647051,74,35.75,"Diāmir District, گلگت بلتستان, پاکستان"
1.890235457,74.25,35.75,"گلگت, گلگت بلتستان, 15100, پاکستان"
1.806050022,74.5,35.75,"گلگت, گلگت بلتستان, 15100, پاکستان"
1.78572006,74.75,35.75,"گلگت - سکردو شاہراہ, Burumdey, گلگت, گلگت بلتستان, پاکستان"
1.832607448,75,35.75,"سکردو, گلگت بلتستان, پاکستان"
0.869451929,75.25,35.75,"سکردو, گلگت بلتستان, پاکستان"
0.393700231,75.5,35.75,"Dassu Shigar, شگر, گلگت بلتستان, پاکستان"
0.399406468,75.75,35.75,"Baltistān District, شگر, گلگت بلتستان, پاکستان"
0.333227602,76,35.75,"Baltistān District, شگر, گلگت بلتستان, پاکستان"
0.299329859,76.25,35.75,"Baltistān District, شگر, گلگت بلتستان, پاکستان"
0.140768266,76.5,35.75,"Concordia, شگر, گلگت بلتستان, پاکستان"
0.054098243,76.75,35.75,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.05345873,77,35.75,"达布达尔乡 دەفتەر يېزىسى, 塔什库尔干塔吉克自治县 تاشقۇرغان تاجیك ئاپتونوم ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.053441695,77.25,35.75,"叶城县 قاغىلىق ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 844900, 中国"
0.053223438,77.75,35.75,"叶城县 قاغىلىق ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 844900, 中国"
0.053187064,78,35.75,"皮山县 گۇما ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.053168874,78.25,35.75,"皮山县 گۇما ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.052885807,78.5,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.057237793,78.75,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.069151136,79,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.08319825,79.25,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.105305153,79.5,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.139275379,79.75,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.185602633,80,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.248405723,80.25,35.75,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
2.291798769,73.5,35.5,"Sazīn, خیبر پختونخوا, پاکستان"
2.22258424,73.75,35.5,"Bāsha, خیبر پختونخوا, پاکستان"
2.093580324,74,35.5,"گلگت بلتستان, پاکستان"
1.991416919,74.25,35.5,"Diāmir District, گلگت بلتستان, پاکستان"
1.915333509,74.5,35.5,"Drang, گلگت بلتستان, پاکستان"
1.90895893,74.75,35.5,"Turballing, Astore, گلگت بلتستان, پاکستان"
1.98468602,75,35.5,"سکردو, گلگت بلتستان, پاکستان"
1.398699165,75.25,35.5,"سکردو, گلگت بلتستان, پاکستان"
0.43883194,75.5,35.5,"Baltistān District, شگر, گلگت بلتستان, پاکستان"
0.405116137,75.75,35.5,"شگر, گلگت بلتستان, پاکستان"
0.300610494,76,35.5,"Baltistān District, شگر, گلگت بلتستان, پاکستان"
0.292984743,76.25,35.5,"گانچھے, گلگت بلتستان, 16810, پاکستان"
0.211751686,76.5,35.5,"گانچھے, گلگت بلتستان, 16810, پاکستان"
0.060576235,76.75,35.5,"شگر, گلگت بلتستان, پاکستان"
0.052903074,77,35.5,"Nubra, Leh District, Ladakh, 194401, India"
0.052889151,77.25,35.5,"Nubra, Leh District, Ladakh, 194401, India"
0.052898165,77.5,35.5,"叶城县 قاغىلىق ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 844900, 中国"
0.052891361,77.75,35.5,"叶城县 قاغىلىق ناھىيىسى, 喀什地区 قەشقەر ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 844900, 中国"
0.052876958,78,35.5,"皮山县 گۇما ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.052876712,78.25,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.052876713,78.5,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.064249557,78.75,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.080030117,79,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.099035187,79.25,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.1286718,79.5,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.172236982,79.75,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.232840592,80,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.311943956,80.25,35.5,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
2.200577043,73.75,35.25,"Diāmir District, گلگت بلتستان, پاکستان"
2.129790033,74,35.25,"Diāmir District, گلگت بلتستان, پاکستان"
2.055534526,74.25,35.25,"Diāmir District, گلگت بلتستان, پاکستان"
2.016382014,74.5,35.25,"Diāmir District, گلگت بلتستان, پاکستان"
2.067302957,74.75,35.25,"Nihke, Tarshing, Astore, گلگت بلتستان, پاکستان"
2.207447446,75,35.25,"Astore, گلگت بلتستان, پاکستان"
1.656419015,75.25,35.25,"سکردو, گلگت بلتستان, پاکستان"
0.688969654,75.5,35.25,"سکردو, گلگت بلتستان, پاکستان"
0.437540216,75.75,35.25,"سکردو, گلگت بلتستان, پاکستان"
0.30118333,76,35.25,"کریس, گانچھے, گلگت بلتستان, پاکستان"
0.28926347,76.25,35.25,"Kharko Garbong, گانچھے, گلگت بلتستان, پاکستان"
0.228449251,76.5,35.25,"گانچھے, گلگت بلتستان, 16810, پاکستان"
0.080517972,76.75,35.25,"گانچھے, گلگت بلتستان, 16810, پاکستان"
0.053447292,77,35.25,"Nubra, Leh District, Ladakh, 194401, India"
0.055384477,77.25,35.25,"Nubra, Leh District, Ladakh, 194401, India"
0.055252207,77.5,35.25,"Nubra, Leh District, Ladakh, 194401, India"
0.055935793,77.75,35.25,"Gapshan- Saser Brangtsa road, Leh District, Ladakh, India"
0.055974686,78,35.25,"Nubra, Leh District, Ladakh, 194401, India"
0.053345479,78.25,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.052876714,78.5,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.076447849,78.75,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.095170428,79,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.118711412,79.25,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.157560917,79.5,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.216575911,79.75,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.294280253,80,35.25,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
2.265234458,73.75,35,"بٹہ کنڈی, خیبر پختونخوا, پاکستان"
2.226637024,74,35,"Jalkhad - Sharda Road, Bakwali, ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.163954507,74.25,35,"ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.073838104,74.5,35,"ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.138968495,74.75,35,"ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.335288173,75,35,"Astore, گلگت بلتستان, پاکستان"
2.044381132,75.25,35,"سکردو, گلگت بلتستان, پاکستان"
0.992760754,75.5,35,"سکردو, گلگت بلتستان, پاکستان"
0.535372931,75.75,35,"کھرمنگ, گلگت بلتستان, پاکستان"
0.363227869,76,35,"کھرمنگ, گلگت بلتستان, پاکستان"
0.283088206,76.25,35,"کھرمنگ, گلگت بلتستان, پاکستان"
0.243848254,76.5,35,"گانچھے, گلگت بلتستان, 16810, پاکستان"
0.090555258,76.75,35,"گانچھے, گلگت بلتستان, 16810, پاکستان"
0.057615344,77,35,"Nubra, Leh District, Ladakh, 194401, India"
0.05892782,77.25,35,"Nubra, Leh District, Ladakh, 194401, India"
0.058923786,77.5,35,"Nubra, Leh District, Ladakh, 194401, India"
0.062988829,77.75,35,"Nubra, Leh District, Ladakh, 194401, India"
0.06839388,78,35,"Shyok - DBO Road, Leh District, Ladakh, India"
0.072453828,78.25,35,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.076750293,78.5,35,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.099837904,78.75,35,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.115166228,79,35,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.144496364,79.25,35,"河岔口-红山头, 和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.197323527,79.5,35,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
0.274346397,79.75,35,"新藏公路, 和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
0.373031431,80,35,"和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 848000, 中国"
2.349861173,73.25,34.75,"Battagram District, خیبر پختونخوا, 21040, پاکستان"
2.39339904,73.5,34.75,"Mānsehra District, خیبر پختونخوا, 21140, پاکستان"
2.355177305,73.75,34.75,"ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.332748357,74,34.75,"دواریاں, ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.274671762,74.25,34.75,"شاردا, ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.103444084,74.5,34.75,"Kupwara, Kupwara District, Jammu and Kashmir, India"
2.195936421,74.75,34.75,"Jeep Track Neelum Road, کیل, ضلع وادیِ نیلم, آزاد کشمیر, پاکستان"
2.448967965,75,34.75,"Astore - Minimarg Road, Astore, گلگت بلتستان, پاکستان"
2.663859221,75.25,34.75,"Astore, گلگت بلتستان, پاکستان"
1.213936678,75.5,34.75,"سکردو, گلگت بلتستان, پاکستان"
0.570144862,75.75,34.75,"سکردو, گلگت بلتستان, پاکستان"
0.442321157,76,34.75,"کھرمنگ, گلگت بلتستان, پاکستان"
0.294241733,76.25,34.75,"Marol, کھرمنگ, گلگت بلتستان, پاکستان"
0.254697939,76.5,34.75,"Khalsi tehsil, Leh District, Ladakh, India"
0.098397196,76.75,34.75,"Nubra, Leh District, Ladakh, 194401, India"
0.057349174,77,34.75,"Nubra, Leh District, Ladakh, 194401, India"
0.054165497,77.25,34.75,"Nubra, Leh District, Ladakh, 194401, India"
0.061852465,77.5,34.75,"Nubra, Leh District, Ladakh, 194401, India"
0.074025732,77.75,34.75,"Nubra, Leh District, Ladakh, 194401, India"
0.082853441,78,34.75,"Nubra, Leh District, Ladakh, 194401, India"
0.096744384,78.25,34.75,"加勒万公路, 和田县 خوتەن ناھىيىسى, 和田地区 خوتەن ۋىلايىتى, 新疆维吾尔自治区 شىنجاڭ ئۇيغۇر ئاپتونوم رايونی, 中国"
